run_id,tag,variant,page,model,rep,status,calls,input_tokens,output_tokens,cached_tokens,cost_usd,wall_seconds,output_chars,denoised_bytes,retention_pct,redactions,leaks,drupal_mentions,html_tag_density,prompt_shadowed
bench_7_react_optimized__small__r2__1788169288,b7-reps,bench_7_react_optimized,small,claude-sonnet-5,2,completed,2,9061,828,0,0.026402,13.06,1986,1995,30.0,0,0,17,0.0,1
bench_7_react_optimized__small__r3__1788169301,b7-reps,bench_7_react_optimized,small,claude-sonnet-5,3,completed,2,9086,894,0,0.027112,11.87,1852,1862,28.0,0,0,17,0.0,1
bench_7_react_optimized__small__r1__1788169375,marker-test,bench_7_react_optimized,small,claude-sonnet-5,1,completed,2,9061,871,0,0.026832,12.59,1866,1866,28.1,0,0,16,0.0,1
bench_7_react_optimized__small__r1__1788169404,marker-test2,bench_7_react_optimized,small,claude-sonnet-5,1,completed,2,9073,860,0,0.026746,12.84,1818,1837,27.6,0,0,12,0.0,1
bench_5_react_agent__small__r1__1788169455,marker-b5,bench_5_react_agent,small,claude-sonnet-5,1,completed,3,48845,6396,0,0.16165,53.88,5555,4627,69.6,0,0,55,0.0,0
bench_5_react_agent__small__r1__1788169567,promptlog,bench_5_react_agent,small,claude-sonnet-5,1,completed,2,22577,1722,0,0.062374,19.95,3794,3421,51.5,0,0,31,0.0,0
bench_5_react_agent__small__r1__1788169780,banana2,bench_5_react_agent,small,claude-sonnet-5,1,completed,1,619,6,0,0.001298,3.52,6,6,0.1,0,0,0,0.0,0
bench_5_react_agent__small__r1__1788169627,banana,bench_5_react_agent,small,claude-sonnet-5,1,completed,3,57555,15822,0,0.27333,224.4,8517,6322,95.1,0,0,101,0.0,0
bench_7_react_optimized__small__r1__1788169828,prompt-really-fixed,bench_7_react_optimized,small,claude-sonnet-5,1,completed,2,9399,6322,0,0.082018,52.37,8715,6288,94.6,0,0,101,0.0,0
bench_5_react_agent__small__r1__1788169881,prompt-really-fixed,bench_5_react_agent,small,claude-sonnet-5,1,completed,3,51630,8926,0,0.19252,72.63,5818,4688,70.5,0,0,57,0.0,0
bench_7_react_optimized__small__r2__1788169953,prompt-really-fixed,bench_7_react_optimized,small,claude-sonnet-5,2,completed,2,9399,6362,0,0.082418,51.21,8715,6288,94.6,0,0,101,0.0,0
bench_5_react_agent__small__r2__1788170005,prompt-really-fixed,bench_5_react_agent,small,claude-sonnet-5,2,completed,3,59805,15163,0,0.27124,118.74,8318,6323,95.1,0,0,99,0.0,0
bench_5_react_agent__small__r1__1788170858,final-sonnet5,bench_5_react_agent,small,claude-sonnet-5,1,completed,3,47539,3944,0,0.134518,39.89,3721,3366,50.6,0,0,30,0.0,0
bench_7_react_optimized__small__r1__1788170898,final-sonnet5,bench_7_react_optimized,small,claude-sonnet-5,1,completed,2,9399,6379,0,0.082588,51.97,8716,6289,94.6,0,0,101,0.0,0
bench_5_react_agent__medium__r1__1788170950,final-sonnet5,bench_5_react_agent,medium,claude-sonnet-5,1,completed,2,91622,12442,0,0.307664,113.52,11491,11724,93.4,29,1,38,0.0,0
bench_7_react_optimized__medium__r1__1788171063,final-sonnet5,bench_7_react_optimized,medium,claude-sonnet-5,1,completed,2,7468,4540,0,0.060336,41.91,11479,11700,93.2,28,2,38,0.0,0
bench_5_react_agent__large__r1__1788171105,final-sonnet5,bench_5_react_agent,large,claude-sonnet-5,1,completed,4,1055106,35629,0,2.466502,316.15,37162,37208,74.3,4,0,332,0.0,0
bench_7_react_optimized__large__r1__1788171421,final-sonnet5,bench_7_react_optimized,large,claude-sonnet-5,1,completed,2,56955,29528,0,0.40919,224.69,39614,39905,79.7,4,0,331,0.0,0
bench_7_react_optimized__small__r1__1788171729,b7-sonnet46,bench_7_react_optimized,small,claude-sonnet-4-6,1,completed,2,7434,2916,0,0.066042,57.01,4608,4607,69.3,0,0,48,0.0,0
bench_7_react_optimized__medium__r1__1788171786,b7-sonnet46,bench_7_react_optimized,medium,claude-sonnet-4-6,1,completed,2,5910,3256,0,0.06657,85.06,11482,11714,93.3,28,2,38,0.0,0
bench_7_react_optimized__large__r1__1788171871,b7-sonnet46,bench_7_react_optimized,large,claude-sonnet-4-6,1,completed,2,40856,15997,0,0.362523,327.02,40167,40515,80.9,2,2,335,0.0,0
bench_8_react_with_tools_in_parent__large__r1__1788572020,bench89-claude-haiku-4-5-20251001,bench_8_react_with_tools_in_parent,large,claude-haiku-4-5-20251001,1,completed,2,40897,22307,0,0.152432,236.19,43152,40286,80.4,0,4,342,0.0,0
bench_8_react_with_tools_in_parent__large__r1__1788573268,bench89-claude-sonnet-5,bench_8_react_with_tools_in_parent,large,claude-sonnet-5,1,completed,2,56968,22113,0,0.335066,165.93,40650,40996,81.9,8,0,336,0.0,0
bench_8_react_with_tools_in_parent__large__r1__1788606833,bench89-claude-sonnet-4-6,bench_8_react_with_tools_in_parent,large,claude-sonnet-4-6,1,completed,2,40866,16450,0,0.369348,326.97,41203,41148,82.2,4,2,337,0.0,0
bench_8_react_with_tools_in_parent__medium__r1__1788571895,bench89-claude-haiku-4-5-20251001,bench_8_react_with_tools_in_parent,medium,claude-haiku-4-5-20251001,1,completed,2,5954,3023,0,0.021069,44.42,11106,11467,91.4,40,10,38,0.0,0
bench_8_react_with_tools_in_parent__medium__r1__1788573068,bench89-claude-sonnet-5,bench_8_react_with_tools_in_parent,medium,claude-sonnet-5,1,completed,2,7489,4844,0,0.063418,42.41,11607,12108,96.5,56,2,38,0.0,0
bench_8_react_with_tools_in_parent__medium__r1__1788606666,bench89-claude-sonnet-4-6,bench_8_react_with_tools_in_parent,medium,claude-sonnet-4-6,1,completed,2,5928,3551,0,0.071049,87.02,11674,12186,97.1,56,3,39,0.0,0
bench_8_react_with_tools_in_parent__small__r1__1788571775,bench89-claude-haiku-4-5-20251001,bench_8_react_with_tools_in_parent,small,claude-haiku-4-5-20251001,1,completed,2,7456,4747,0,0.031191,57.49,8554,6257,94.1,0,0,99,0.0,0
bench_8_react_with_tools_in_parent__small__r1__1788572895,bench89-claude-sonnet-5,bench_8_react_with_tools_in_parent,small,claude-sonnet-5,1,completed,2,9412,6274,0,0.081564,50.86,8614,6252,94.0,0,0,101,0.0,0
bench_8_react_with_tools_in_parent__small__r1__1788606552,bench89-claude-sonnet-4-6,bench_8_react_with_tools_in_parent,small,claude-sonnet-4-6,1,completed,2,7444,2916,0,0.066072,53.50,4608,4607,69.3,0,0,48,0.0,0
bench_9_reflexion_with_tools_in_parent__large__r1__1788572256,bench89-claude-haiku-4-5-20251001,bench_9_reflexion_with_tools_in_parent,large,claude-haiku-4-5-20251001,1,completed,7,212845,56804,0,0.496865,637.01,37707,37793,75.5,8,0,327,0.0,0
bench_9_reflexion_with_tools_in_parent__large__r1__1788573434,bench89-claude-sonnet-5,bench_9_reflexion_with_tools_in_parent,large,claude-sonnet-5,1,completed,7,265477,75130,0,1.282254,641.85,37951,38315,76.5,8,0,333,0.0,0
bench_9_reflexion_with_tools_in_parent__large__r1__1788607160,bench89-claude-sonnet-4-6,bench_9_reflexion_with_tools_in_parent,large,claude-sonnet-4-6,1,completed,7,199271,40508,0,1.205433,863.72,42957,40039,79.9,6,1,346,0.0,0
bench_9_reflexion_with_tools_in_parent__medium__r1__1788571939,bench89-claude-haiku-4-5-20251001,bench_9_reflexion_with_tools_in_parent,medium,claude-haiku-4-5-20251001,1,failed,6,29511,5855,0,0.058786,80.76,0,0,,0,0,0,,0
bench_9_reflexion_with_tools_in_parent__medium__r1__1788573110,bench89-claude-sonnet-5,bench_9_reflexion_with_tools_in_parent,medium,claude-sonnet-5,1,completed,7,47703,17216,0,0.267566,157.21,11937,12154,96.8,70,0,43,0.0,0
bench_9_reflexion_with_tools_in_parent__medium__r1__1788606753,bench89-claude-sonnet-4-6,bench_9_reflexion_with_tools_in_parent,medium,claude-sonnet-4-6,1,completed,3,9027,3524,0,0.079941,79.85,11354,11854,94.5,56,3,39,0.0,0
bench_9_reflexion_with_tools_in_parent__small__r1__1788571833,bench89-claude-haiku-4-5-20251001,bench_9_reflexion_with_tools_in_parent,small,claude-haiku-4-5-20251001,1,failed,4,19275,5015,0,0.04435,61.97,0,0,,0,0,0,,0
bench_9_reflexion_with_tools_in_parent__small__r1__1788572945,bench89-claude-sonnet-5,bench_9_reflexion_with_tools_in_parent,small,claude-sonnet-5,1,completed,5,28742,13501,0,0.192494,122.56,8660,6277,94.4,0,0,100,0.0,0
bench_9_reflexion_with_tools_in_parent__small__r1__1788606605,bench89-claude-sonnet-4-6,bench_9_reflexion_with_tools_in_parent,small,claude-sonnet-4-6,1,failed,4,16797,3002,0,0.095421,60.88,0,0,,0,0,0,,0
bench_9_reflexion_with_tools_in_parent__small__r1__1788611993,b9fix-claude-sonnet-4-6,bench_9_reflexion_with_tools_in_parent,small,claude-sonnet-4-6,1,completed,9,78856,7271,0,0.345633,169.7147,4608,4607,69.3,0,0,49,0.0,0
bench_9_reflexion_with_tools_in_parent__small__r1__1788612167,b9fix-claude-haiku-4-5-20251001,bench_9_reflexion_with_tools_in_parent,small,claude-haiku-4-5-20251001,1,paused,10,133947,21756,0,0.242727,280.5336,0,0,,0,0,0,,0
bench_9_reflexion_with_tools_in_parent__medium__r1__1788612447,b9fix-claude-haiku-4-5-20251001,bench_9_reflexion_with_tools_in_parent,medium,claude-haiku-4-5-20251001,1,completed,9,195056,13394,0,0.262026,221.1132,11151,11674,93.0,58,0,37,0.0,0
bench_9_reflexion_with_tools_in_parent__small__r1__1788613357,b9fix2-claude-haiku-4-5-20251001,bench_9_reflexion_with_tools_in_parent,small,claude-haiku-4-5-20251001,1,completed,9,125817,20896,0,0.230297,281.4663,8500,6308,94.9,0,0,106,0.0,0
bench_5_react_agent__small__r1__1788621924,b5rerun-claude-sonnet-5,bench_5_react_agent,small,claude-sonnet-5,1,completed,2,22577,1574,0,0.060894,20.2038,3600,3366,50.6,0,0,26,0.0,0
bench_5_react_agent__large__r1__1788622695,b5rerun-large-claude-sonnet-5,bench_5_react_agent,large,claude-sonnet-5,1,completed,4,1029165,18625,0,2.24458,186.9651,22283,22269,44.5,1,0,160,0.0,0
bench_8_react_with_tools_in_parent__large__r1__1788623258,bench89-opus5-large,bench_8_react_with_tools_in_parent,large,claude-opus-5,1,completed,2,56843,39290,0,1.266465,343.0763,56594,44921,89.7,6,1,388,0.0,0
bench_9_reflexion_with_tools_in_parent__large__r1__1788623601,bench89-opus5-large,bench_9_reflexion_with_tools_in_parent,large,claude-opus-5,1,completed,3,82107,42095,0,1.46291,379.7062,56641,44963,89.8,6,1,388,0.0,0
bench_8_react_with_tools_in_parent__small__r1__1788625045,bench89-opus5-sm,bench_8_react_with_tools_in_parent,small,claude-opus-5,1,completed,2,9288,6250,0,0.20269,61.2189,8731,6272,94.3,0,0,100,0.0,0
bench_9_reflexion_with_tools_in_parent__small__r1__1788625106,bench89-opus5-sm,bench_9_reflexion_with_tools_in_parent,small,claude-opus-5,1,completed,3,12859,7390,0,0.249045,77.2094,8675,6266,94.3,0,0,99,0.0,0
bench_8_react_with_tools_in_parent__medium__r1__1788625183,bench89-opus5-sm,bench_8_react_with_tools_in_parent,medium,claude-opus-5,1,paused,1,816,151,0,0.007855,6.3785,0,0,,0,0,0,,0
bench_9_reflexion_with_tools_in_parent__medium__r1__1788625189,bench89-opus5-sm,bench_9_reflexion_with_tools_in_parent,medium,claude-opus-5,1,completed,5,208037,11674,0,1.332035,142.027,11721,12304,98.0,62,0,39,0.0,0
bench_8_react_with_tools_in_parent__medium__r1__1788625440,bench89-opus5-medium-retry,bench_8_react_with_tools_in_parent,medium,claude-opus-5,1,paused,1,816,151,0,0.007855,5.5808,0,0,,0,0,0,,0
bench_8_react_with_tools_in_parent__medium__r1__1788625697,bench89-opus5-medium-retry2,bench_8_react_with_tools_in_parent,medium,claude-opus-5,1,paused,1,816,152,0,0.00788,6.9832,0,0,,0,0,0,,0
bench_8_react_with_tools_in_parent__medium__r1__1788626572,bench89-opus5-medium-nogate,bench_8_react_with_tools_in_parent,medium,claude-opus-5,1,completed,2,97768,4875,0,0.610715,57.8361,11698,12199,97.2,56,3,39,0.0,0
